Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
Чемпионы: Быстрее. Выше. Сильнее,Россия,Спорт,2016,6,103,8.7
Возмездие,Великобритания,Триллеры,2010,16,116,7.7
Исходный код,США,Фантастика,2011,12,89,8.2
Парк ужасов,США,Ужасы,2012,16,84,4.9
Миллионер из трущоб,Великобритания,Драмы,2008,16,115,8.7
Белль и Себастьян: Друзья навек,Франция,Приключения,2017,6,91,8.2
Блондинка в эфире,США,Комедии,2014,16,90,7.7
Пила 4,США,Ужасы,2007,18,92,7.6
Маленькая Вера,СССР,Мелодрамы,1988,16,128,7.0
Дамы приглашают кавалеров,СССР,Советские,1981,12,71,7.5
Особенности национальной охоты,Россия,Комедии,1995,12,96,8.3
Околофутбола,Россия,Драмы,2013,16,92,8.1
Пять невест,Россия,Комедии,2011,16,107,8.3
Уиджи. Проклятие доски дьявола,США,Ужасы,2016,16,98,7.0
На всех парах!,Испания,Комедии,2021,12,84,6.0
Сестра в отрыве,США,Драмы,2017,18,102,5.4
Ганнибал: Восхождение,Великобритания,Триллеры,2007,16,116,7.9
Т-34 (на узбекском языке),Россия,Военные,2019,12,139,6.8
Темный мир: Равновесие,Россия,Фэнтези,2013,12,95,7.7
Пушки Акимбо,США,Комедии,2019,16,97,7.2
Еще один мальчишник,США,Комедии,2015,16,85,5.3
F20,Россия,Криминал,2022,18,88,6.7
Тайный Санта,Россия,Комедии,2022,12,80,7.7
"Не могу сказать ""прощай""",СССР,Драмы,1982,12,85,8.3
Матильда,Россия,Драмы,2017,16,108,7.2
Ромовый дневник,США,Комедии,2011,16,114,7.1
Сказка о царе Салтане,СССР,Советские,1967,6,81,8.1
Королевство драконов,Великобритания,Приключения,2018,16,85,4.8
Горько! 2,Россия,Комедии,2014,16,96,7.3
Зачинщики,США,Боевики,2016,16,90,7.4
К звездам,США,Драмы,2019,16,117,6.3
Нечто,США,Ужасы,1982,18,108,7.6
Иваново детство,СССР,Драмы,1962,16,91,8.4
Остерегайся озера,США,Триллеры,2017,16,83,4.3
Чужая Земля,Германия,Фантастика,2021,16,104,5.8
Дитя тьмы,Канада,Ужасы,2017,16,88,6.2
Как женить холостяка,США,Мелодрамы,2018,16,83,6.4
Ханна. Совершенное оружие,США,Боевики,2010,16,105,6.5
Робокоп,США,Фантастика,1987,16,102,8.6
Наша Russia: Яйца судьбы,Россия,Комедии,2010,12,82,7.2
Клаустрофобы: Квест в Москве,США,Ужасы,2020,16,91,6.8
Дуэлянт,Россия,Драмы,2016,16,110,8.4
Джейн Эйр,Великобритания,Драмы,2010,12,115,8.3
День радио,Россия,Комедии,2008,18,102,8.2
Компромат,Южная Корея,Триллеры,2022,18,92,6.5
15 убийств,США,Триллеры,2020,16,96,5.7
Взаперти,США,Триллеры,2022,18,89,6.5
"Гуляй, Вася! Свидание на Бали",Россия,Комедии,2021,18,109,7.0
Миссия: невыполнима 3,США,Боевики,2006,16,119,8.1
Время монстров,США,Фэнтези,2018,16,72,3.7
Супернянь 2,Франция,Комедии,2015,16,92,8.0
На грани безумия,Ирландия,Триллеры,2018,16,95,6.0
Рокки,США,Драмы,1976,16,119,8.5
Инопланетянин,США,Фантастика,1982,6,114,8.5
13,США,Триллеры,2009,16,95,6.9
Битва с киборгами,США,Фантастика,2018,16,90,6.3
Кубанские казаки,СССР,Комедии,1950,0,104,7.6
Уроки выживания,Россия,Для детей,2015,6,86,7.9
Напарник,Россия,Комедии,2017,12,92,7.9
Первобытный страх,США,Триллеры,1996,16,130,7.9
Запретная любовь,Великобритания,Драмы,2008,16,110,6.2
Кто там,США,Триллеры,2015,18,94,5.6
Кодекс киллера,США,Боевики,2021,18,108,7.5
Щенячья школа,США,Документальные,2018,6,77,8.9
Камелот: Возвращение короля,Франция,Фэнтези,2021,16,115,6.5
Повелитель бури,США,Военные,2008,16,125,7.3
Ловушка времени,США,Фантастика,2017,16,87,7.0
По половому признаку,США,Биография,2018,16,115,8.4
Мартовские иды,США,Драмы,2011,18,101,7.2
Книга духов,Италия,Драмы,2020,16,98,5.5
Игра на выживание,США,Триллеры,2012,16,91,7.2
Уцелевшая,США,Боевики,2015,16,96,7.0
Война динозавров,Южная Корея,Боевики,2007,16,89,6.3
Мордекай,Великобритания,Боевики,2015,16,106,7.8
Когда Гарри встретил Салли,США,Драмы,1989,16,95,8.1
Один вдох,Россия,Спорт,2020,12,100,8.4
Белое солнце пустыни,СССР,Боевики,1970,16,80,8.5
Вам и не снилось...,СССР,Драмы,1980,0,86,8.7
Агент под прикрытием,США,Боевики,2012,12,93,7.0
7 дней и ночей с Мэрилин,Великобритания,Драмы,2011,16,94,7.7
Не дыши: Начало,США,Триллеры,2022,18,93,4.1
Незваные,США,Ужасы,2008,16,83,7.5
Капитан,Германия,Драмы,2017,18,114,6.7
Миллиард,Россия,Комедии,2019,12,96,6.5
Дальний космос,США,Фантастика,2021,16,111,6.0
Время года зима,Россия,Драмы,2022,16,82,6.8
"Огонь, вода и ... медные трубы",СССР,Музыкальные,1967,0,80,8.0
Красота по-американски,США,Драмы,1999,18,116,7.8
Идеальная жена,Россия,Комедии,2021,16,77,4.5
День выборов,Россия,Комедии,2007,18,122,8.4
Брайан Бэнкс,США,Драмы,2018,16,95,8.8
СуперБобровы,Россия,Комедии,2016,12,95,7.6
Поп,Россия,Драмы,2009,16,123,8.4
От семьи не убежишь,Франция,Комедии,2018,16,105,7.6
Лемони Сникет: 33 несчастья,США,Фэнтези,2004,12,103,8.0
Неудержимый,США,Боевики,2012,16,91,7.1
Всё везде и сразу,США,Фантастика,2022,18,133,6.7
Маленькая мисс Дулиттл,Германия,Семейные,2018,6,99,8.0
Форсаж 9,США,Боевики,2021,12,142,7.6
Духless 2,Россия,Драмы,2015,16,107,8.0
Баламут,СССР,Драмы,1979,16,85,7.9
Проклятая,США,Ужасы,2022,16,114,5.3
Мирный воин,США,Драмы,2006,12,120,8.4
Непобедимый,Россия,Боевики,2007,16,101,7.0
Челюсти,США,Триллеры,1975,16,123,7.9
Комната желаний,Франция,Триллеры,2019,16,95,6.6
Уиджи: Доска Дьявола,США,Ужасы,2014,18,89,6.7
Рассказы,Россия,Драмы,2012,16,110,6.6
"Волшебное зеркало, или Двойные неприятности",Германия,Комедии,2019,6,88,7.8
Синяя бездна 2,Великобритания,Ужасы,2019,16,86,6.6
Окулус,США,Ужасы,2013,18,102,6.8
Русалка и дочь короля,Австралия,Фэнтези,2022,12,96,8.0
Мистериум. Журнал 64,Дания,Детективы,2018,16,113,8.1
Лена и львенок,США,Семейные,2021,6,90,8.1
Зона 414,Великобритания,Фантастика,2021,16,94,6.1
Пираты ХХ века,СССР,Боевики,1979,16,79,8.0
На море!,Россия,Комедии,2008,16,98,6.8
Охота на людей,США,Ужасы,2014,16,88,5.2
Берегись автомобиля,СССР,Советские,1966,12,88,8.6
Сказка о потерянном времени,СССР,Советские,1964,0,75,8.4
Дора и Затерянный город,США,Приключения,2019,6,98,8.3
Гараж,СССР,Советские,1979,12,95,8.6
Супер такса,США,Комедии,2015,6,92,7.9
Отчаянные дольщики,Россия,Комедии,2022,16,87,6.6
Пила 5,США,Ужасы,2008,18,92,7.6
Четыре свадьбы и одни похороны,Великобритания,Драмы,1994,18,117,7.8
Пила 6,Канада,Триллеры,2009,18,90,7.3
Широко шагая,США,Боевики,2004,12,86,7.6
Эмили,Великобритания,Биография,2022,18,129,7.8
Мой любимый динозавр,Австралия,Семейные,2017,6,93,7.5
Холодная гора,Великобритания,Драмы,2003,16,142,8.2
Небо измеряется милями,Россия,Биография,2019,12,90,8.3
Маленькая Италия,Канада,Мелодрамы,2018,16,100,7.6
Духless,Россия,Драмы,2011,16,105,7.5
Однажды 20 лет спустя,СССР,Комедии,1980,12,73,8.8
Выжить,США,Катастрофы,1992,16,120,7.7
Бабки,Россия,Комедии,2021,16,61,6.3
Последнее слово,США,Драмы,2017,16,107,8.2
Очень страшное кино 5,США,Комедии,2013,16,82,6.2
Открытое море: Монстр глубины,Австралия,Триллеры,2022,18,88,5.8
Мир Юрского периода 2,США,Фантастика,2018,16,128,8.0
Дождливый день в Нью-Йорке,США,Мелодрамы,2019,16,88,7.6
Всё могу,Великобритания,Комедии,2015,16,81,7.6
Библиотекарь 3: Проклятие иудовой чаши,США,Приключения,2008,16,86,7.5
Стрингер,США,Триллеры,2014,18,117,7.1
Кооперация 2: Интернэшнл,Южная Корея,Боевики,2022,18,128,8.1
Илон Маск: Настоящий железный человек,США,Документальные,2018,16,74,8.3
Рэкетир,Казахстан,Боевики,2007,16,80,7.5
Голый пистолет 2 1/2: Запах страха,США,Комедии,1991,0,81,7.9
Отчий дом,СССР,Драмы,1959,12,93,7.6
Шкатулка проклятия,США,Ужасы,2012,16,88,7.0
Дурак,Россия,Драмы,2014,18,115,7.5
Стикер,Россия,Триллеры,2022,16,117,6.3
Ип Ман 3,Китай,Боевики,2015,16,100,8.3
Белль и Себастьян: Новое поколение,Франция,Приключения,2022,16,96,8.6
Идеальные незнакомцы,Италия,Драмы,2016,18,92,7.8
Во власти стихии,США,Драмы,2018,16,92,7.7
Неуловимые мстители,СССР,Боевики,1967,12,73,8.1
Город глазами кота,Нидерланды,Документальные,2018,12,82,8.3
Короли льда,Канада,Спорт,2012,6,115,8.3
Ночной дозор,Россия,Ужасы,2004,16,114,7.8
Лес,Россия,Драмы,2018,16,100,6.1
Афера,США,Драмы,1973,12,129,8.5
Воспоминания Победы,Россия,Исторические,2021,12,64,9.3
Женщина в черном,Великобритания,Экранизации,2012,16,95,7.0
Где находится нофелет?,СССР,Советские,1988,12,77,8.3
Интуиция,США,Мелодрамы,2001,12,87,8.1
Орел Девятого легиона,США,Драмы,2010,12,109,7.6
Интим не предлагать,Россия,Мелодрамы,2016,12,89,7.7
Чемпионы,Россия,Спорт,2014,6,97,8.4
Налет Грейхаундов,США,Боевики,2019,16,80,3.3
Рога,США,Ужасы,2013,18,115,6.8
Любит не любит,Россия,Комедии,2014,16,80,7.7
Двойной удар,США,Боевики,1991,16,109,8.0
Мой парень – киллер,США,Комедии,2015,16,91,7.8
Темный мир,Россия,Фэнтези,2010,16,105,7.2
Отмель,США,Ужасы,2016,16,86,7.4
Слендермен,США,Ужасы,2018,16,89,5.7
Железная хватка,США,Драмы,2010,16,104,7.6
Враги,Россия,Военные,2007,16,78,5.6
Живая плоть,Испания,Драмы,1997,16,96,5.6
"Добро пожаловать, или Посторонним вход воспрещен",СССР,Для детей,1964,6,70,8.8
Любовь в большом городе,Россия,Комедии,2009,12,87,7.8
Омут,Россия,Триллеры,2022,18,99,5.3
Ганмен,США,Боевики,2015,16,110,7.4
Одноклассницы: Новый поворот,Россия,Комедии,2017,16,73,7.3
Не говори никому,Дания,Ужасы,2022,18,93,4.6
Особенности национальной охоты в зимний период,Россия,Комедии,2000,16,70,7.9
Знамение,США,Фантастика,2009,16,116,7.7
Это чертово сердце,Германия,Драмы,2017,16,101,8.6
Джиперс Криперс 3,США,Ужасы,2017,16,97,5.6
Вий,СССР,Советские,1967,12,73,7.8
Джикираг,Канада,Ужасы,2022,16,120,3.4
Клаустрофобы: Начало,Италия,Ужасы,2022,18,91,4.2
Прекрасное чудовище,США,Мелодрамы,2013,16,99,6.4
Женщины против мужчин: Крымские каникулы,Россия,Комедии,2018,16,75,6.3
Мошенники,США,Мелодрамы,2002,12,95,7.5
Помнить,Южная Корея,Драмы,2022,18,128,7.3
Мимино,СССР,Драмы,1978,6,91,8.8
Алтай. Путешествие к центру земли,Россия,Документальные,2016,12,60,8.0
Дельфин Берни 2,Канада,Семейные,2019,0,98,8.2
Прекрасная эпоха,Франция,Мелодрамы,2019,18,109,8.3
Кливлендские пленницы,США,Драмы,2015,16,83,7.7
Хоть раз в жизни,США,Драмы,2013,16,103,8.0
Правила виноделов,США,Драмы,1999,16,117,8.6
SuperАЛИБИ,Франция,Комедии,2017,18,84,7.7
Проклятие плачущей: Безвременье,США,Ужасы,2022,16,91,5.0
"Гуляй, Вася!",Россия,Комедии,2017,16,96,7.0
Спасти нельзя оставить,Россия,Приключения,2020,6,61,6.8
Виновный,Дания,Триллеры,2018,16,84,6.8
Скиф,Россия,Фэнтези,2018,16,100,7.1
Гений,Великобритания,Драмы,2016,16,104,7.9
Решала. Нулевые,Россия,Криминал,2019,16,87,7.6
Магия лунного света,США,Мелодрамы,2014,16,93,7.7
Предчувствие,США,Приключения,2007,16,96,7.5
Восточный ветер 2,Германия,Драмы,2015,12,108,8.5
Доказательство смерти,США,Боевики,2007,16,108,7.3
Миллионер на три дня,Великобритания,Комедии,2022,18,94,5.5
"Дом, который построил Джек",Дания,Триллеры,2018,16,151,5.8
Крик 3,США,Ужасы,2000,18,116,7.9
Сестры,Россия,Драмы,2001,16,83,8.3
По данным уголовного розыска...,СССР,Криминал,1979,12,69,7.4
Стэпфордские жены,США,Ужасы,2004,12,88,7.5
Мамы,Россия,Комедии,2012,12,101,8.7
Семья года,Россия,Комедии,2021,12,90,7.2
Семейное ограбление,Франция,Комедии,2017,16,90,7.5
Школьный вальс,СССР,Драмы,1977,16,90,7.8
Вторжение,Россия,Фантастика,2020,12,133,6.9
Такси: Гора сокровищ,Испания,Комедии,2019,16,89,4.1
Взвод,Великобритания,Драмы,1986,16,119,7.8
Пылающая равнина,США,Драмы,2008,16,102,7.0
Джой жаждет любви,США,Комедии,2018,18,82,6.6
Воспоминания из будущего,Южная Корея,Триллеры,2021,16,99,7.9
Хардкор,Россия,Боевики,2015,16,95,6.9
Если только,США,Мелодрамы,2004,12,91,7.3
Ловец снов,США,Ужасы,2020,18,85,4.8
Верю в любовь,США,Мелодрамы,2020,12,111,8.0
Сквозь снег,Южная Корея,Драмы,2013,16,125,6.4
Укради мою жену,США,Криминал,2013,16,98,6.8
Мистериум: Охотники на фазанов,Дания,Детективы,2014,18,114,7.8
Соломенные псы,США,Триллеры,2011,18,109,7.2
СуперБобровы. Народные мстители,Россия,Комедии,2018,12,89,7.4
Остров Гоцо,Великобритания,Драмы,2016,16,86,4.4
Белль и Себастьян,Франция,Приключения,2013,6,99,8.2
Одна в поле воин,США,Боевики,2020,16,87,5.9
Виселица,США,Триллеры,2017,16,97,6.9
Приключения Тедди,Норвегия,Для детей,2022,6,75,8.2
Еще по одной,Дания,Драмы,2020,18,111,7.8
Самый одинокий кит,США,Документальные,2021,12,96,8.1
Макс Стил,Великобритания,Фантастика,2016,16,88,6.9
Красавец и чудовище,Россия,Мелодрамы,2014,12,105,7.7
Дориан Грей,Великобритания,Фэнтези,2009,18,112,7.7
Italian Best Shorts 5: Жизнь как чудо,Италия,Короткометражки,2023,16,94,7.1
Мистериум. Тьма в бутылке,Дания,Детективы,2016,16,107,7.3
Жмот,Франция,Комедии,2016,16,86,7.2
Секс на две ночи,США,Мелодрамы,2014,18,86,6.8
Про Любовь,Россия,Комедии,2015,16,110,7.0
Должник,Казахстан,Комедии,2022,18,78,5.7
Не все дома,Франция,Комедии,2019,12,94,7.7
"Осторожно, дети!",Россия,Комедии,2020,6,84,7.5
Елки-палки!...,СССР,Комедии,1988,12,84,7.0
Все только начинается,США,Комедии,2017,16,89,6.7
Крик 2,США,Ужасы,1997,18,115,7.6
Бой с тенью,Россия,Боевики,2005,16,126,8.1
Убийство Кеннета Чемберлена,США,Триллеры,2020,16,80,7.5
Харли Дэвидсон и Ковбой Мальборо,США,Боевики,1991,16,98,8.2
Вечность между нами,США,Мелодрамы,2020,12,94,7.1
Темные воды,США,Триллеры,2019,16,121,8.4
Джеки Браун,США,Триллеры,1997,16,139,7.8
За гранью реальности,Россия,Приключения,2018,12,102,7.2
Мегрэ и таинственная девушка,Франция,Детективы,2022,16,88,7.0
Горы,Австралия,Документальные,2017,6,73,8.0
Вспомни всё,США,Фантастика,2017,16,107,7.0
Любовники,Франция,Мелодрамы,2020,16,103,6.0
Заклятье. Дом 32,Испания,Ужасы,2020,16,100,6.1
Разгневанная душа,Австралия,Триллеры,2022,16,83,4.5
Мультивселенная,Канада,Фантастика,2018,16,90,6.1
Пила: Спираль,США,Ужасы,2021,16,93,6.5
Вечера на хуторе близ Диканьки,СССР,Фэнтези,1961,0,66,8.4
Меч дракона,Китай,Боевики,2015,16,103,7.4
Разлом,Норвегия,Катастрофы,2018,16,103,6.9
Капоне. Лицо со шрамом,США,Криминал,2020,16,99,5.8
Всё или ничего,Россия,Комедии,2018,16,89,6.4
Затащи меня в Ад,США,Ужасы,2009,16,94,6.4
Хищник юрского периода,Великобритания,Ужасы,2018,16,82,4.4
Красавчик со стажем,Франция,Комедии,2019,16,90,7.5
Запрос в друзья,Германия,Ужасы,2015,16,88,6.2
Возвращение,Австралия,Ужасы,2015,16,90,7.4
Тайная жизнь,США,Драмы,2019,16,173,7.5
Избави нас от лукавого,США,Ужасы,2014,18,113,7.7
Скрижали судьбы,Ирландия,Драмы,2016,16,103,8.4
Сквозь горизонт,Великобритания,Ужасы,1997,18,91,6.7
Та еще парочка,США,Комедии,2019,16,119,7.7
Сахар,Австралия,Документальные,2014,12,102,8.8
Сабрина,США,Мелодрамы,1954,12,113,8.7
Скачок во времени,США,Фантастика,2017,16,84,5.1
Донбасс. Окраина,Россия,Военные,2019,12,92,7.6
Рэкетир 2,Казахстан,Боевики,2015,16,111,7.5
Принцесса Монако,Франция,Драмы,2014,12,98,7.9
Короче говоря,Австралия,Мелодрамы,2021,18,90,8.0
Техасская резня бензопилой: Кожаное лицо,США,Ужасы,2017,16,87,6.1
Диана: История любви,Великобритания,Драмы,2013,12,108,8.2
Без границ,Россия,Комедии,2015,12,92,8.2
Цель номер один,США,Триллеры,2012,16,152,7.0
Другая,США,Ужасы,2021,18,80,5.6
Коп на драйве,Франция,Комедии,2020,12,90,6.9
Маленькие волшебницы,Германия,Фэнтези,2019,6,92,8.1
Монгол,Россия,Боевики,2007,16,108,7.7
Чудо-детки: Непутевые волшебники,Германия,Фэнтези,2020,6,96,7.3
Каникулы off-line (на казахском языке),Казахстан,Комедии,2019,12,92,7.8
Приходите завтра (цветная версия),СССР,Советские,1962,6,92,8.1
Яга. Кошмар темного леса,Россия,Ужасы,2020,16,96,6.6
Шутки в сторону 2: Миссия в Майами,Франция,Комедии,2018,16,106,7.3
Притяжение,Россия,Фантастика,2017,12,117,7.8
Кутис,США,Ужасы,2014,16,87,6.0
Пила 3D,США,Ужасы,2010,18,90,7.8
Девятая,Россия,Триллеры,2019,16,94,7.1
Список Шиндлера,США,Драмы,1993,16,195,9.4
Рокки 4,США,Драмы,1985,16,91,8.3
Многоэтажка,Россия,Триллеры,2022,18,99,7.8
Приключения Реми,Франция,Приключения,2018,6,108,9.0
Страна хороших деточек,Россия,Для детей,2013,12,78,7.9
Проект «Итака»,Канада,Фантастика,2019,16,84,4.7
Ип Ман: Мастер кунг-фу,Китай,Боевики,2019,16,83,6.7
Начать с нуля!,Италия,Комедии,2020,16,93,7.2
Отчаянный ход,США,Драмы,2019,16,115,7.9
Воспоминания о будущем,Великобритания,Драмы,2014,18,124,8.2
Невезучие,Франция,Комедии,2003,12,83,8.1
Таксист,США,Триллеры,1976,18,113,7.0
Калина красная,СССР,Драмы,1974,12,106,8.6
День мертвецов: Злая кровь,США,Ужасы,2018,16,90,5.9
Женатый холостяк,СССР,Музыкальные,1982,0,83,8.0
Где моё кольцо? (с казахскими субтитрами),Казахстан,Комедии,2020,12,87,7.3
Бойся своих желаний,США,Ужасы,2017,16,86,6.9
Красотка в ударе,Россия,Комедии,2020,12,96,7.1
Сдается дом со всеми неудобствами,Россия,Комедии,2016,12,86,6.7
Остров везения,Россия,Комедии,2013,12,82,6.8
Цена ошибки,США,Триллеры,2021,16,98,6.9
Пабло Эскобар. Нарко-Атлетико,Россия,Документальные,2020,16,37,7.5
Бегущий человек,США,Боевики,1987,16,96,8.0
Последнее убийство,США,Боевики,2020,16,81,6.6
Гранит,Россия,Боевики,2021,16,101,7.9
Спасите Колю!,Россия,Комедии,2021,12,94,7.3
Рокки 3,США,Драмы,1982,16,99,8.5
Пуленепробиваемый монах,США,Комедии,2003,12,99,7.4
Подозрительные лица,США,Триллеры,1995,16,101,8.0
Затмение,Россия,Приключения,2016,12,78,7.1
Этот неловкий момент,США,Мелодрамы,2014,16,94,7.3
13-й район: Ультиматум,Франция,Боевики,2009,16,100,7.8
Девушки бывают разные,Россия,Комедии,2019,16,89,6.6
Полный расколбас,США,Для взрослых,2016,18,88,6.1
Женщины,СССР,Драмы,1965,0,98,8.2
Восьмерка,Россия,Боевики,2013,18,81,6.1
Пазманский дьявол,США,Спорт,2016,18,111,8.2
Падение Америки,США,Боевики,2016,16,94,5.5
Решала: Брат,Россия,Драмы,2022,18,89,6.8
Свадьба по обмену,Россия,Комедии,2011,16,89,7.2
Сердце чемпиона,США,Драмы,2018,6,89,7.8
Призраки Элоиз,США,Ужасы,2016,16,88,6.4
Тебе конец!,США,Триллеры,2013,16,90,7.1
Римские приключения,США,Мелодрамы,2012,16,111,7.1
Бой с тенью 3D: Последний раунд,Россия,Боевики,2011,16,121,8.4
Коробка,Россия,Драмы,2015,12,95,8.2
Игры разумов,Ирландия,Драмы,2018,16,119,8.4
Дурной глаз,Ирландия,Триллеры,2022,16,96,6.3
Расправь крылья,Франция,Приключения,2019,6,113,9.1
Белль и Себастьян: Приключения продолжаются,Франция,Приключения,2015,6,97,8.4
Английский пациент,США,Драмы,1996,16,154,8.2
Любовь не по размеру,Франция,Комедии,2016,16,94,7.9
Тень звезды,Россия,Драмы,2020,16,91,6.9
Одни дома,США,Комедии,2021,12,106,7.0
Тарас Бульба,Россия,Военные,2009,16,125,8.4
Семья,Россия,Комедии,2012,12,90,6.5
Три тополя на Плющихе  (цветная версия),СССР,Советские,1968,0,78,8.4
Женщины против мужчин,Россия,Комедии,2015,16,84,7.0
Медальон,США,Боевики,2012,16,91,7.1
Бесславные ублюдки,Германия,Боевики,2009,18,152,8.2
Жасмин,США,Драмы,2013,16,94,6.9
Золушка (цветная версия),СССР,Советские,1947,0,78,8.2
Счастье в конверте,Россия,Мелодрамы,2020,12,98,8.9
Дневник мамы первоклассника,Россия,Мелодрамы,2014,6,78,8.0
Четыре пера,США,Драмы,2002,16,125,8.3
Детектив Ди: Четыре Небесных царя,Китай,Фэнтези,2018,16,126,7.6
Доктор Лиза,Россия,Драмы,2020,16,119,9.1
Маргарита — королева Севера,Дания,Драмы,2021,16,120,7.7
Уховёртка,Великобритания,Драмы,2021,16,114,2.7
Точка,Россия,Драмы,2005,18,85,6.4
Бой с тенью 2: Реванш,Россия,Боевики,2007,16,130,7.9
Территория,Россия,Драмы,2014,16,151,7.4
Последний киногерой,США,Фэнтези,1993,12,130,8.3
Фальсификатор,Германия,Драмы,2022,16,115,7.1
7 часов на соблазнение,Италия,Комедии,2020,12,94,7.5
Гнев человеческий,США,Боевики,2021,18,113,8.4
Синяя бездна,Великобритания,Ужасы,2017,16,85,6.4
Время между нами,США,Мелодрамы,2022,12,84,7.9
В постели с незнакомцем,Великобритания,Триллеры,2022,18,86,6.4
Проклятие монахинь,США,Ужасы,2021,16,89,3.7
Жили-были,Россия,Драмы,2017,16,86,8.1
Амели,Франция,Мелодрамы,2001,16,121,8.2
Мне бы в небо,США,Драмы,2009,16,104,7.7
Старый Генри,США,Вестерн,2021,16,94,7.5
Охотник с Уолл-стрит,США,Драмы,2016,16,105,8.1
Агора,Испания,Приключения,2009,16,121,7.2
Варвары,Великобритания,Триллеры,2021,16,86,4.6
Стейк от кутюр,Франция,Комедии,2022,16,87,7.5
Михаил Зорин. Жизнь продолжается!,Россия,Документальные,2021,12,72,9.2
Операция «Хромит»,Южная Корея,Военные,2016,16,106,6.3
Время патриотов,Казахстан,Боевики,2022,12,100,7.7
Битва при Лонгтане,Австралия,Военные,2019,16,113,7.1
Где соприкасаются руки,Великобритания,Мелодрамы,2018,16,112,8.4
Медведи Камчатки. Начало жизни,Россия,Документальные,2018,0,52,8.6
Стеклянный замок,США,Драмы,2017,12,126,8.0
Замуж на 2 дня,Франция,Мелодрамы,2012,12,104,7.7
Три дня на убийство,Франция,Боевики,2014,16,116,7.8
Капитал в XXI веке,Франция,Документальные,2019,16,102,7.6
Пропавшая,США,Триллеры,2020,16,93,6.2
Версальский роман,Великобритания,Драмы,2014,16,111,7.5
Пипец,Великобритания,Комедии,2010,16,117,7.4
Весь этот мир,США,Драмы,2017,12,92,7.8
На глубине 6 футов,США,Драмы,2017,16,93,7.7
Любовь и дружба,Ирландия,Драмы,2016,12,89,6.4
Диего Марадона,Великобритания,Документальные,2019,16,124,8.2
Таксист,Южная Корея,Драмы,2017,16,137,8.6
Опасный метод,Великобритания,Драмы,2011,18,99,7.9
Форсаж: Хоббс и Шоу,США,Боевики,2019,16,135,7.9
Пальмы в снегу,Испания,Драмы,2015,16,156,8.4
Игра без правил,США,Триллеры,2010,16,103,7.0
Клипмейкеры,Россия,Комедии,2023,18,100,5.7
Миддлтон,США,Мелодрамы,2013,16,96,7.2
Цивилизация,Великобритания,Фантастика,2020,16,88,4.1
Таинственная комната,Италия,Триллеры,2021,16,82,5.1
Выпускной,Россия,Комедии,2014,16,92,7.1
Брат,Южная Корея,Драмы,2016,16,109,8.6
Коллекторша,США,Комедии,2019,16,94,6.8
Борьба с моей семьей,Великобритания,Спорт,2019,16,103,8.0
Не бойся темноты,США,Ужасы,2010,18,94,6.7
Одноклассницы,Россия,Комедии,2016,16,73,2.6
С любимыми не расставайтесь,СССР,Драмы,1979,12,72,7.5
Рождество кота Боба,Великобритания,Комедии,2020,12,88,8.4
Мейер Лански,США,Криминал,2021,16,119,7.9
Моя собака Робопес,США,Семейные,2014,12,90,6.9
Призрак дома Бриар,Канада,Ужасы,2015,18,91,6.2
"Куда ты пропала, Бернадетт?",США,Комедии,2019,16,104,7.9
Адмиралъ,Россия,Военные,2008,16,118,8.3
Дневной дозор,Россия,Фэнтези,2005,12,145,8.2
Восточный ветер 3: Наследие Оры,Германия,Приключения,2017,12,110,8.5
Зло,США,Ужасы,2018,16,87,6.2
Паранойя,США,Триллеры,2007,16,99,7.5
Милый друг,Великобритания,Драмы,2012,16,98,7.3
Защитники,Россия,Фантастика,2017,12,85,5.8
"Горький привкус любви, или Список фрау Шиндлер",Россия,Документальные,2021,12,52,8.8
Хоттабыч,Россия,Фантастика,2006,16,91,7.7
Челюсти 2,США,Ужасы,1978,16,116,7.6
Ронин,Великобритания,Боевики,1998,16,121,7.6
На линии огня,США,Катастрофы,2015,16,97,7.4
Шулера,США,Драмы,1998,16,115,7.5
Побег,США,Ужасы,2020,18,75,4.7
Частное пионерское 2,Россия,Для детей,2015,6,99,8.5
Уличные танцы,Великобритания,Мелодрамы,2010,12,98,7.8
Интервью с Богом,США,Драмы,2018,16,96,7.5
"Та, которой не было",Франция,Драмы,2019,16,101,7.5
Безумные преподы,Франция,Комедии,2013,12,84,7.1
Ледяной драйв,США,Боевики,2021,16,104,7.7
Все включено,Франция,Комедии,2019,16,89,6.4
Неадекватные люди 2,Россия,Мелодрамы,2020,16,118,7.9
Грешное тело,США,Приключения,2018,16,84,5.3
Как убили Джона Кеннеди,США,Документальные,2021,16,117,8.3
Ласточки Христовы,Россия,Документальные,2022,12,70,9.3
На игле,Великобритания,Драмы,1996,18,89,7.8
Теория хаоса,США,Комедии,2007,12,83,6.4
Ниндзя против пиратов,Нидерланды,Приключения,2022,16,92,6.6
Падение замка,США,Боевики,2021,16,89,6.3
Пиноккио,Италия,Семейные,2019,6,120,7.7
Шери,Великобритания,Драмы,2009,16,92,6.7
Робокоп 3,США,Фантастика,1992,12,104,7.8
Я ненавижу день Святого Валентина,США,Мелодрамы,2009,16,85,6.6
Курьер,СССР,Драмы,1986,16,87,8.3
В клетке,Великобритания,Ужасы,2021,16,77,3.9
