Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
Сделано в Америке,США,Криминал,2017,18,113,8.2
Домовой,Россия,Семейные,2019,6,103,8.7
Большой,Россия,Драмы,2017,12,126,8.1
Новый Человек-Паук: Высокое напряжение,США,Фантастика,2014,12,135,8.4
Битва шефов,Испания,Комедии,2022,18,88,8.2
Рыцарь дня,США,Боевики,2010,12,105,8.3
Свободное падение,США,Ужасы,2021,18,82,5.4
Морской бой,США,Фантастика,2012,12,131,8.0
Блондинка в законе,США,Комедии,2001,12,95,8.4
За бортом,США,Комедии,2018,16,112,7.7
Элвин и бурундуки 3,США,Комедии,2011,0,84,8.1
Ржев,Россия,Военные,2019,12,112,8.1
После. Глава 2,США,Мелодрамы,2020,16,100,7.5
Зоя,Россия,Военные,2021,12,98,7.9
Отпетые мошенницы,США,Комедии,2019,16,89,7.6
Тропа смерти,США,Ужасы,2022,18,78,3.6
Боги Египта,США,Фэнтези,2016,16,126,8.0
Дивергент,США,Фантастика,2014,12,133,8.1
Элвин и бурундуки 2,США,Комедии,2009,6,85,8.3
Смерть на Ниле,США,Детективы,2022,16,121,8.1
Последний отпуск,США,Комедии,2006,12,106,8.5
Джанго освобожденный,США,Драмы,2012,16,165,8.8
Война миров Z,США,Ужасы,2013,16,111,8.2
Люди в черном: Интернэшнл,США,Фантастика,2019,16,110,7.8
Дикие кошки,Франция,Документальные,2021,6,81,8.0
Как украсть небоскреб,США,Боевики,2011,18,104,8.0
Подстава,США,Боевики,2021,18,93,6.1
Девчата,СССР,Советские,1962,12,95,8.8
Голодные игры,США,Фантастика,2012,16,136,8.1
Охота на ведьм,США,Ужасы,2022,18,92,5.6
Трансформеры,США,Фантастика,2007,12,137,8.3
Несокрушимый,Россия,Военные,2018,12,89,7.9
Логово,Великобритания,Ужасы,2022,18,96,6.0
Остров проклятых,США,Триллеры,2009,16,132,8.1
Суперагенты,Казахстан,Комедии,2022,16,75,7.2
Сестренка,Россия,Драмы,2019,6,94,8.7
Хранитель тайн,Испания,Триллеры,2022,18,108,6.9
Астронавт,США,Фантастика,2022,16,101,6.6
Астрал. Проклятие ведьм,США,Ужасы,2021,18,98,3.5
Экипаж,Россия,Катастрофы,2016,6,137,8.7
Любовники,Россия,Комедии,2022,18,98,7.4
Отпуск по обмену,США,Мелодрамы,2006,12,135,8.8
Рубеж,Россия,Фантастика,2018,12,95,7.7
Белый тигр,Россия,Военные,2012,16,104,7.1
Человек-Паук 2,США,Фантастика,2004,12,127,8.5
Любовь и прочие неприятности,США,Мелодрамы,2006,16,92,7.8
Девушка моих кошмаров,США,Мелодрамы,2007,16,110,7.2
Темная башня,США,Боевики,2017,16,90,7.4
Одни на каникулах,Нидерланды,Приключения,2022,6,84,8.1
Паранормальные явления. Дом призраков,США,Ужасы,2022,16,84,5.8
Клоун,США,Ужасы,2019,18,87,4.8
Стрела возмездия,Австралия,Боевики,2022,18,88,6.3
Не/смотря ни на что,Германия,Комедии,2017,16,106,8.6
Беспощадные киллеры,Италия,Драмы,2022,18,86,5.8
Парк Юрского периода 2: Затерянный мир,США,Фантастика,1997,12,128,7.8
Город порока,США,Криминал,2013,16,104,7.3
"Поймай меня, если сможешь",США,Драмы,2002,18,134,8.8
Нимфоманка: Часть 1 (на английском языке с русскими субтитрами),Дания,Драмы,2013,18,117,5.0
Чернобыль,Россия,Катастрофы,2021,12,135,7.6
Основатель,США,Биография,2016,16,110,8.4
Папы,Россия,Комедии,2022,6,107,8.4
"С любовью, Рози",Германия,Мелодрамы,2014,16,98,8.3
Красный призрак,Россия,Военные,2021,16,98,7.5
Люди в черном 2,США,Фантастика,2002,12,88,8.4
Голодные игры: И вспыхнет пламя,США,Фантастика,2013,16,146,8.2
Дикий мужчина,Дания,Комедии,2021,18,98,6.3
Любовь-морковь,Россия,Комедии,2007,18,104,7.9
Однажды в… Голливуде,США,Комедии,2019,18,154,7.3
Дедушка НЕлегкого поведения,США,Комедии,2020,6,97,7.8
Непосредственно Каха,Россия,Комедии,2020,16,108,6.9
Геракл,США,Приключения,2014,16,97,7.8
Мумия: Гробница Императора Драконов,США,Боевики,2008,12,112,7.8
Парк Юрского периода,США,Приключения,1993,16,126,8.2
Хэнкок,США,Фантастика,2008,16,92,8.3
Чудовище,США,Ужасы,2022,16,88,5.3
Солт,США,Боевики,2010,12,99,7.5
Друг невесты,США,Мелодрамы,2008,16,101,7.8
Омерзительная восьмерка,США,Вестерн,2015,18,160,8.2
По правилам и без,Франция,Комедии,2022,18,98,6.8
Охотники на ведьм,США,Фэнтези,2012,18,87,8.1
Невероятный Халк,США,Фантастика,2008,12,112,8.1
Трансформеры: Месть падших,США,Фантастика,2009,16,143,8.5
Больше чем любовь,Казахстан,Приключения,2023,16,83,7.2
Атлантида,Испания,Фантастика,2017,16,102,6.1
Во всё тяжкое,США,Комедии,2018,16,86,7.5
Приключения Паддингтона 2,Великобритания,Для детей,2017,6,99,8.8
Очень плохие мамочки,США,Комедии,2016,18,96,8.1
Красотка на всю голову,США,Комедии,2018,16,105,7.6
Родные,Россия,Комедии,2021,12,97,8.2
Артек. Большое путешествие,Россия,Комедии,2022,6,104,8.5
Идеальное ограбление,Италия,Криминал,2021,18,123,6.9
Операция «Ы» и другие приключения Шурика,СССР,Комедии,1965,6,90,8.6
Шпион по соседству,США,Боевики,2009,6,94,8.1
Смурфики 2,США,Для детей,2013,6,104,8.1
Голодные игры: Сойка-пересмешница. Часть II,США,Фантастика,2015,16,131,8.4
Немного о любви,Нидерланды,Мелодрамы,2021,18,105,7.2
Не слышу зла,Южная Корея,Триллеры,2021,16,103,7.2
Море соблазна,Великобритания,Триллеры,2019,16,101,7.1
Риддик,Канада,Фантастика,2013,16,118,7.8
Лев Яшин. Вратарь моей мечты,Россия,Биография,2019,6,115,8.5
Хочу замуж,Россия,Комедии,2022,16,105,7.6
Дети Уиндермира,Великобритания,Драмы,2020,12,75,8.3
Выбор,США,Драмы,2016,16,106,8.2
В тылу врага,Великобритания,Военные,2020,16,92,5.7
Звезда,Россия,Боевики,2002,16,93,7.8
Гемини,США,Боевики,2019,12,112,7.8
Люди в черном 3,США,Фантастика,2012,12,105,8.7
В эфире,США,Триллеры,2022,18,104,7.3
Тело,Испания,Триллеры,2012,16,111,7.8
